"Food","Portion_g","Usual_Score","Cost_USD_per_100g"
"Chocolate dark w hazelnuts",30,7,1.20
"Chocolate milk w puffed rice",30,5,1.20
"Tomatoes dried in oil tin/glass, drained",20,7,1.50
"Tomato sun-dried",20,7,1.50
"Raisins soaked in water",30,4,0.60
"Toffee w chocolate",20,5,1.50
"Pate spreadable lean",30,6,1.20
"Wheat bread brown w sunflower seeds",70,8,0.45
"Nougat w chocolate",30,5,1.50
"Liquorice w peppermint",30,6,1.00
"Salty liquorice lolly",15,5,1.50
"Nougat",30,5,1.50
"Popcorn sweet popped wo oil",30,6,0.60
"Fruit drink conc Albert Heijn",20,7,0.50
"Cake marble-",40,6,0.80
"Cake apple- wo butter",40,5,0.80
"Cake raisins-",40,6,0.80
"Eclair filled w banana and whipped cream",80,4,1.50
"Chocolate eclair w whipped cream filling",80,5,1.50
"Chocolate cake w whipped cream",100,5,1.50
"Cake Dutch spiced Ontbijtkoek w nuts",40,5,0.60
"Cake Dutch spiced Ontbijtkoek w rockcandy",40,5,0.60
"Spiced cake Indonesian- Spekkoek made w butter",30,6,1.50
"Croissant chocolate-",50,6,1.00
"Tarts filled w jam",50,5,1.20
"Capers",10,6,1.50
"Cup cake iced",50,5,1.20
"Chocolate chip cookie",20,8,1.00
"Biscuit children's av",20,7,0.80
"Biscuit Dutch shortbread sprits w choc",20,7,0.90
"Teacakes chocolate coated marshmallow",25,7,1.00
"Biscuit Dutch Kletskop",20,6,1.20
"Cake wrapped in marzipan and chocolate",50,5,1.50
"Ice cream dairy stracciatella",100,7,0.80
"Cake Dutch w icing & cream Oranjekoek",80,4,1.50
"Sauce hot liquid ready-to-eat <12% fat",50,6,0.50
"Sauce cheese- based on roux prepared",50,6,0.60
"Sauce hot liquid ready-to-eat >12% fat",50,6,0.50
"Low fat margarine prod Becel Omega3 Plus",15,7,0.80
"Chocolate sprinkles white",15,7,0.80
"Wafer galette",20,5,1.00
"Spice biscuit sprinkles Bolletje",15,6,0.80
"Wafer w milk & hazelnuts Knoppers",25,6,1.20
"Cake w nuts",40,6,0.90
"Fritter banana",80,4,1.00
"Gateau fatless sponge w marzipan",100,4,1.80
"Nuts cake",40,5,1.00
"Rice drink wo sugar  fortified w calcium and vitamines",200,4,0.30
"Soft drink w sugar and sweetener 2-<5 g CHO wo caffeine",250,7,0.20
"Juice drink w sugar and sweetener 4-6 g CHO",200,6,0.25
"Juice drink Capri-Sun Multivitamin",200,6,0.30
"Fruit drink conc diluted 1 to 7",200,7,0.15
"Tea herbal instant sweetend prepared",150,4,0.30
"Sauce butter-",30,5,0.80
"Sauce w semi-skimmed milk and corn starch",50,4,0.40
"Gravy 25% fat clear prep w gravy instant powder ",30,6,0.40
"Gravy 50% fat clear prepared w gravy instant powder",30,7,0.40
"Gravy 25% fat thickend prep w gravy instant powder ",30,6,0.40
"Gravy 25% fat thickend prep wo gravy instant powder ",30,5,0.40
"Gravy 50% fat thickend prep wo gravy instant powder",30,6,0.40
"Gravy 75% fat thickend prep wo gravy instant powder",30,4,0.40
"Sauce Aardappel Anders av",50,6,0.50
"Gravy 5% fat thickend prep wo gravy instant powder",30,4,0.40
"Peanutsauce homemade w s-sk milk wo fat",50,4,0.50
"Peanutsauce homemade w water wo fat",50,7,0.40
"Gravy 50% fat clear prep wo gravy instant powder",30,6,0.40
"Gravy 75% fat clear prep wo gravy instant powder",30,4,0.40
"Gravy 50% fat thickend prep w gravy instant powder",30,7,0.40
"Gravy 5% fat clear prep wo gravy instant powder",30,4,0.40
"Salad dressing vinaigrette",30,7,0.50
"Sauce for chips approx 13% oil",20,6,0.40
"Salad dressing honey/mustard",30,8,0.60
"Sauce for chips 5% oil",20,5,0.40
"Mayonnaise product approx 35% oil",20,8,0.40
"Oil wok",15,7,0.60
"Herb paste boemboe",20,7,1.00
"Coffee cappuccino freshly made",150,8,0.80
"Coffee cappuccino instant prepared",150,7,0.40
"Coffee cappuccino instant powder",15,7,1.50
"Energy drink Golden Power/Bullit/Freeway",250,7,0.20
"Fruit juice drink ACE",200,6,0.25
"Soup veg & meat based ready-to-eat",250,8,0.40
"Soup vegetable & meat based prepared pack",250,7,0.30
"Spread speculaas flavoured",15,7,0.80
"Fruit juice drink multivit 12 fruits nectar light",200,6,0.25
"Fruit juice drink w sweetener 5-<8 g CHO",200,6,0.20
"Potato puree powder wo milkpowder wo fat",30,5,0.50
"Milk chocolate-flavoured w s-sk milk and sweetened cocoa powder",200,7,0.25
"Dairy drink Campina Fruitmelk",200,6,0.30
"Tomato sieved pack",100,8,0.25
"Potato puree powder w milkpowder w fat",30,6,0.60
"Yoghurt half fat w fruit",200,7,0.35
"Yoghurt Greek full fat",150,8,0.45
"Quark full fat w fruit",150,7,0.45
"Fruit dried in brandy",30,2,2.00
"Juice multifruit",200,7,0.25
"Cider",250,5,0.40
"Fruit juice concentrated diluted 1 to 13",200,7,0.15
"Fruit juice drink Surango multivit nectar light",200,4,0.25
"Cheese spread 15+ Balans ERU",15,5,1.20
"Cheese spread Kids ERU",15,6,1.20
"Cheese goat hard",30,6,2.00
"Custard half fat all flavours",150,6,0.35
"Pudding airy",100,5,0.50
"Porridge milk w wheat flour white Lammetjespap",250,2,0.20
"Custard 2 flavours w syrup vlaflip Campina",150,7,0.40
"Chili pepper raw",5,6,1.00
"Frying fat horeca",15,5,0.30
"Biscuit savoury Sultana Crunchers",20,7,0.90
"Croutons",15,6,1.00
"Potato crisps oven baked",40,7,1.20
"Maltesers",40,7,1.50
"Chocolate flakes av",15,8,1.00
"Liquorice sugar-free",30,6,1.20
"Wine gum w liquorice",30,7,1.00
"Cocoa powder sweetened Nesquik",15,7,0.80
"Dessert made of custard, yoghurt & syrup",150,6,0.40
"Blancmange home-made w semi-sk milk",150,5,0.35
"Custard soft & airy ",100,6,0.50
"Soup noodle prepared",250,6,0.30
"Sausage luncheon meat vegetarian fortified w iron and vit B12",30,5,1.50
"Chinese noodle ball frozen unprepared",100,7,0.80
"Croquette meat ragout frozen unprep",70,8,0.60
"Spring roll frozen unprepared",150,7,0.50
"Croissant ham and cheese",70,7,1.20
"Chicken sticks breaded frozen unprepared",100,6,0.80
"Cheese pastry w puff pastry",80,8,1.00
"Viandel unprepared Mora",85,6,0.80
"Biscuit LU Time Out",20,6,1.00
"Margarine 80% fat >24 g sat fa unsalted",15,5,0.50
"Margarine liq 80% fat <17g sat fa unsalted",15,6,0.60
"Low fat margarine prod Bewust light 30% fat <10g sat fa unsalted",15,6,0.60
"Apple turnover w puff pastry wo butter",100,6,1.20
"Soup thickened no filling",250,5,0.30
"Cooking fat liq 97% fat <17g sat fa unsalted",15,5,0.60
"Cooking fat sol 97% fat >17g sat fa unsalted",15,4,0.50
"Margarine 80% fat <24 g sat fa unsalted",15,6,0.50
"Low fat margarine 40% fat <17 g sat fa unsalted",15,6,0.60
"Low fat margarine prod AH chol reducing",15,5,1.20
"Flan w custard and crumble topping",120,6,1.20
"Cake Dutch spiced Ontbijtkoek w nuts & fruit",40,5,0.60
"Flan w custard and fruit",120,7,1.20
"Cake w Dutch Amaretti Bitterkoekjes",40,4,1.00
"Sauce garlic 20-<30% oil",20,8,0.50
"Potatoes mashed fresh prep w whole milk and margarin",200,8,0.25
"Cake apple made w butter",100,7,1.00
"Gravy 5% fat thickend prep w gravy instant powder",30,5,0.40
"Pancake wholemeal homemade prepared w liquid margarin",150,6,0.35
"Pancake wholemeal homemade prepared w margarin",150,6,0.35
"Biscuit peanut",20,6,0.80
"Gravy 25% fat clear prep wo gravy instant powder",30,5,0.40
"Candybar KitKat",45,8,1.50
"Salad dressing olive oil-vinegar",30,7,0.60
"Mix for marinade powder unprepared",10,6,1.50
"Biscuit w nuts and chocolate",20,7,1.00
"Biscuits w nuts",20,6,0.90
"Wine rose",150,7,0.80
"Sauce Joppie",20,7,0.60
"Tapenade olive",15,6,1.50
"Mix seasoning Mexican unprepared",10,7,1.50
"Salsa tomato dip",30,7,0.80
"Vinegar",10,7,0.20
"Bread stuffed Bapao meat",100,7,0.80
"Meatball Berenklauw unprepared",120,6,0.80
"Appel pie Dutch w shortbread w butter",100,8,1.20
"Coffee instant powder",3,7,2.00
"Fruit juice drink minimal 2 fruits fortified w vit C",200,6,0.30
"Smoothie fruit",200,7,0.50
"Smoothie fruit w dairy",200,6,0.50
"Soft drink w sugar and sweetener 2-<5 CHO w caffeine",250,7,0.20
"Sports drink Aquarius",330,6,0.30
"Coffee w sugar and milk vending machine",150,7,0.50
"Coffee w milk vending machine",150,8,0.50
"Tea herbal instant sweetend powder",5,3,1.50
"Gravy prep wo fat w gravy instant powder ",30,4,0.40
"Sauce cocktail/party/table >25% oil",20,7,0.60
"Rice cakes w spices",15,6,1.20
"Chicken (processed meat product)",30,7,1.50
"Yoghurt 0% fat w fruit Activia",150,7,0.40
"Chocolate sprinkles mix white and dark",15,8,0.80
"Spread duo w chocolate",15,7,0.80
"Spread duo wo chocolate",15,5,0.80
"Sweets jelly/gums/foam",30,8,1.00
"Wine gums w foam layer",30,7,1.00
"Waffle Luikse",90,7,1.00
"Waffle soft-/sugar-/flash-",30,6,0.80
"Soft drink w sugar and sweetener 5-<8 g CHO w caffeine",250,7,0.20
"Salad dressing 20% oil w yoghurt",30,7,0.50
"Mix spice and herbs rice/Chinese noodles unprepared",10,8,1.50
"Energy drink Red Bull",250,8,0.60
"Energy drink Red Bull sugarfree",250,7,0.60
"Muesli crunchy w nuts",40,8,0.60
"Muesli crunchy w chocolate",40,7,0.60
"Muesli crunchy w nuts and chocolate",40,7,0.60
"Dairy spread plain/herbs",15,7,1.00
"Dairy spread plain/herbs light",15,6,1.00
"Mixed spices Wereldgerechten unprep",15,7,1.50
"Rice multi-grain boiled",200,5,0.30
"Breakfast cereal Coco pops Chocos Kellogg's",40,5,0.90
"Breakfast cereal Spec K choc Kellogg's",40,6,0.90
"Abricots dried and soaked",30,3,1.00
"Apple sauce wo sugar w sweetener tinned",150,5,0.35
"Biscuit spiced small Kruidnoten w dark choc",30,7,1.00
"Biscuit spiced small Kruidnoten w milk choc",30,8,1.00
"Sweet fruity chew",20,7,1.20
"Biscuit Dutch Amaretti Bitterkoekjes",20,7,1.00
"Cake chocolate made wo butter",40,5,0.80
"Biscuit Dutch Frou frou",20,5,0.80
"Biscuit w dried fruit & yoghurt Sultana Yofruit",20,7,1.00
"Biscuit spiced small Kruidnoten w white choc",30,7,1.00
"Wheat bread wholemeal av fine and coarse w seeds",70,8,0.45
"Wheat bread brown w seeds",70,8,0.45
"Breakfast cereal All-Bran flakes Kellogg's",40,5,0.80
"Cassave crackers",20,6,1.20
"Wheat corn bread white w sunflower seeds",70,6,0.50
"Lettuce red raw",50,5,0.50
"Cabbage red w apple pieces glass",150,7,0.35
"Margarine product Albert Heijn Balans",15,6,0.60
"Margarine product liquid <60% fat <17 g sat fa unsalted",15,6,0.60
"Margarine product liquid <60% fat <17 g sat fa salted",15,7,0.60
"Biscuit Liga Evergreen crunchy",30,7,0.80
"Meringue",20,4,1.50
"Doughnut iced",60,5,1.20
"Waffle Luikse w chocolate",90,6,1.20
"Ice tea w sugar 4-<5 g CHO",250,7,0.20
"Carrot bunched raw",100,7,0.25
"Carrot bunched boiled",150,6,0.25
"Carrot winter raw",100,7,0.20
"Carrot winter boiled",150,8,0.20
"Tomato vine raw",100,8,0.50
"Tomato cherry raw",50,8,0.80
"Tomato beef raw",100,6,0.50
"Tomato beef boiled",100,4,0.50
"Tomato av raw",100,9,0.40
"Tomato av boiled",100,7,0.40
"Rocket raw",30,7,1.00
"Onion Welsh raw",20,6,0.80
"Onion Welsh boiled",20,4,0.80
"Cucumber w skin raw",100,8,0.30
"Sweet pepper yellow raw",100,7,0.60
"Sweet pepper yellow boiled",100,5,0.60
"Sweet pepper av raw",100,9,0.50
"Sweet pepper av boiled",100,7,0.50
"Potatoes Nicola wo skin boiled",200,7,0.25
"Potatoes Eigenheimer wo skin boiled",200,6,0.25
"Potatoes Red Baron wo skin boiled",200,5,0.25
"Potatoes floury av wo skin boiled",200,8,0.20
"Pear w skin",150,8,0.30
"Grapes black w skin",150,7,0.50
"Grapes white w skin",150,8,0.50
"Apple Elstar w skin",150,9,0.25
"Apple Elstar wo skin",150,7,0.25
"Apple Jonagold w skin",150,8,0.25
"Apple Jonagold wo skin",150,6,0.25
"Juice orange freshly squeezed",200,8,0.50
"Cheese Gouda 48+ age 4-8 weeks",30,9,1.20
"Cheese Gouda 48+ age 8 wk-4 mths",30,9,1.30
"Cheese Gouda 48+ age 4-7 mths",30,8,1.40
"Cheese Gouda 48+ age 10-12 mths",30,7,1.60
"Hot chocolate from vending machine",200,6,0.50
"Almond paste filled tarts w butter",50,6,1.50
"Almond paste filled tarts wo butter",50,4,1.20
"Biscuit spiced Speculaas w butter",20,7,0.80
"Biscuit spiced Speculaas wo butter",20,8,0.60
"Pangasius bereid in magnetron z toev",125,5,1.20
"Sausage smoked pork cooked",100,8,1.20
"Sausage smoked pork traditional cooked",100,7,1.40
"Sausage raw beef",100,6,1.50
"Egg whole chicken free-range raw",50,8,0.60
"Egg whole chicken free-range boiled",50,8,0.60
"Egg whole chicken organic raw",50,6,0.80
"Egg whole chicken organic boiled",50,6,0.80
"Egg whole chicken corn-fed raw",50,4,0.50
"Egg whole chicken corn-fed boiled",50,4,0.50
"Biscuit brown/digestive w chocolate",20,7,1.00
"Flan apple and crumble topping",120,7,1.20
"Flan hard shell w custard cream",120,6,1.20
"Flan sponge w custard cream",120,5,1.00
"Pasta white wo egg boiled",200,8,0.30
"Pasta white w egg boiled",200,6,0.35
"Pasta white fresh boiled",200,6,0.60
"Wheat bread wholemeal coarse",70,8,0.40
"Multigrain bread white w seeds",70,6,0.45
"Multigrain bread brown w seeds",70,8,0.45
"Wheat corn bread white",70,6,0.40
"Wheat bread av brown and wholemeal w pumpkin seeds",70,7,0.50
"Wheat bread av brown and wholemeal w sunflower seeds",70,8,0.45
"Wheat sourdough bread wholemeal",70,6,0.60
"Wheat ciabatta white no filling",60,6,0.50
"Wheat bread white pita",50,7,0.40
"Stollen w almond/imitat paste wo nuts",70,5,0.80
"Stollen w almond/imitat paste w nuts",70,6,1.00
"Wheat baguette white",50,8,0.40
"Wheat baguette brown",50,6,0.45
"Wheat bread roll white hard",50,8,0.50
"Wheat bread roll brown hard",50,7,0.50
"Wheat bread roll brown soft",50,7,0.50
"Wheat bread roll wholemeal soft",50,8,0.50
"Multigrain roll brown hard",50,7,0.60
"Multigrain roll brown soft",50,7,0.60
"Croissant prepared w butter",50,8,1.00
"Croissant prepared wo butter",50,5,0.80
"Wheat currant bun white",50,7,0.60
"Wheat muesli bun brown/wholemeal",50,5,0.70
"Poppy seeds",5,3,1.50
"Pumpkin seeds",10,5,1.20
"Almond/imitation paste av",20,6,1.00
"Muesli w fruit/plain",40,8,0.60
"Waffle syrup wo butter",30,6,0.80
"Wheat bread wholemeal fine",70,9,0.35
"Wheat bread currant/raisin white av w almond paste",70,7,0.80
"Wheat bread currant/raisin white av",70,8,0.60
"Wheat raisin bread white w almond paste",70,6,0.80
"Wheat bread brown Tijger",70,8,0.40
"Wheat bread white Tijger",70,8,0.40
"Stollen w almond/imitat paste av w and wo nuts",70,6,0.90
"Croissant av",50,8,0.90
"Salt not fortified w iodine",2,6,0.10
"Waffle syrup w butter",30,8,0.90
"Wheat bread brown w pumpkin seeds",70,7,0.50
"Yoghurt low fat w fruit/vanilla w sweetener",200,7,0.30
"Yoghurt stracciatella full fat ",150,6,0.40
"Chicken schnitzel satay breaded raw",125,6,1.50
"Pork schnitzel satay breaded raw",125,6,1.50
"Liqueur w cream 15-25 vol% alcohol",35,4,2.50
"Chocolate bar filled Kinder",20,7,1.50
"Croissant cheese",50,7,1.20
"Fruit drink conc w sugar and sweetener 10-15 g CHO",20,6,0.50
"Cake chocolate made w butter",40,6,1.00
"Potato waffles/balls frozen unprepared",100,6,0.40
"Coffee iced",250,5,0.40
"Sausage grill w cheese",100,5,1.20
"Beer w fruit flavour",330,6,0.40
"Cabbage red w apple pieces home-made",200,8,0.30
"Pineapple in own juice tinned",100,7,0.40
"Nuts macadamia unsalted",30,4,3.00
"Fruit drink w dairy Taksi w sweetener",200,5,0.25
"Juice multifruit mild w vit C",200,6,0.30
"Drink soya light fortified w calcium and vitamins Alpro",200,4,0.35
"Pancake w cheese homemade",150,7,0.40
"Pancake w apple and raisin homemade",150,7,0.40
"Pie apple-nuts",120,6,1.20
"Biscuit syrup w chocolate",30,6,1.00
"Pancake homemade preprared w liquid margarin",150,7,0.30
"Fritter apple",80,5,1.00
"Candybar Lion",50,7,1.50
"Sauce caramel for pudding",20,5,0.60
"Fruit snack Knijpfruit/Slurpfruit",90,6,1.00
"Brioche",50,4,0.80
"Breakfast cereal Weetabix original",40,4,1.00
"Coffee wiener melange instant powder",15,4,1.50
"Coffee wiener melange instant prepared",150,4,0.40
"Beef smoke-dried lightly salted",30,5,2.50
"Cane sugar",10,5,0.30
"Cranberry compote sweetened",30,4,1.00
"Cashew nuts salted",30,8,2.00
"Almonds blanched salted",30,6,2.00
"Plant-based alternative to yoghurt based on soya sweetened fortified w calcium and vitamins",200,6,0.35
"Cranberries dried sweetened",30,5,1.50
"Biscuit Dutch Jodekoek",20,7,0.80
"Waffle penny-",20,5,0.80
"Cake Indonesian",30,5,1.20
"Biscuit digestive",20,7,0.80
"Low fat spread AH omega-3",15,6,0.80
"Juice drink Ocean Spray Cranberry classic",200,5,0.30
"Horse meat smoked",30,1,2.50
"Scrapple, pork",50,2,1.20
"Sweetcorn tinned",100,7,0.40
"Sausage beef Braadworst prepared",100,6,1.80
"Beef breast boneless prepared",100,4,2.50
"Beef olives prepared",125,6,2.00
"Beef T-bone steak prepared",150,4,3.50
"Beef ribeye steak prepared",150,5,3.00
"Pork shoarma seasoning prepared",150,8,1.50
"Bacon lean smoked prepared",30,7,1.50
"Pork sparerib prepared",150,7,1.50
"Pork stewing meat prepared",150,6,1.20
"Veal stewing meat prepared",150,3,2.00
"Veal stewing steak prepared",150,3,2.50
"Sausage veal Braadworst prepared",100,3,2.00
"Veal rib steak prepared",100,2,3.00
"Veal frying steak prepared",100,3,3.00
"Veal tenderloin medaillon prepared",100,2,4.00
"Cracker VitaLU fortified w calcium",20,5,0.90
"Yoghurt drink 7-9g CHO",200,6,0.30
"Potatoes waxy av wo skin boiled",200,8,0.20
"Crisps potato unflavoured",40,8,1.20
"Crisps potato flavoured",40,8,1.20
"Mascarpone cheese",30,6,1.50
"Crisps potato light flavoured",40,6,1.50
"Crisps potato straws natural",40,6,1.20
"Crisps potato straws flavoured",40,6,1.20
"Crisps potato Lays Sensations flavoured",40,7,1.50
"Chocolate spread white",15,5,0.80
"Soup portion prepared",250,8,0.40
"Sponge cake wholemeal/multigrain",40,4,0.80
"Low fat spead Becel pro-activ calorie light",15,5,1.20
"Yoghurt full fat plain Activia",150,7,0.40
"Yoghurt drink Activia",100,6,0.60
"Toast Melba natural",15,7,1.00
"Toast Melba other varieties",15,6,1.00
"Plant-based alternative to icecream based on coconut",100,4,1.20
"Pizza w cheese and vegetables frozen unprepared",350,7,0.60
"Pizza w meat frozen unprepared",350,7,0.70
"Pizza w fish frozen unprepared",350,5,0.80
"Pizza salami frozen unprepared",350,8,0.70
"Pizza w ham and pineapple frozen unprep",350,7,0.70
"Herring pickled w gherkin",100,6,1.50
"Salad egg w potato",50,6,0.80
"Salad salmon w potato",50,5,1.20
"Salad meat w potato",50,6,0.80
"Biscuit spiced small Kruidnoten w chocolate av",30,8,1.00
"Salt sea",2,7,0.20
"Apple dried soaked in water",50,3,0.80
"Pear dried soaked in water",50,2,1.00
"Prunes soaked in water",50,4,0.80
"Fruit mixed dried soaked in water",50,3,0.80
"Toddler formula Nutrilon 4 p 100 ml",100,1,0.50
"Toddler formula Nutrilon 5 p 100 ml",100,1,0.50
"Cheese spread 45+",15,7,1.00
"Sausage Chorizo",30,7,1.50
"Sausage grill",100,6,1.20
"Turkey (processed meat product)",30,6,1.20
"Bacon smoked Katenspek",30,8,1.50
"Sausage beef frankfurter type tinned",70,6,1.00
"Wheat bread brown carbohydrate reduced",70,5,0.60
"Shandy",330,4,0.30
"Veal schnitzel not breaded raw",125,4,2.50
"Minced veal raw",100,3,1.80
"Veal tenderloin medaillon raw",125,2,3.50
"Veal frying steak raw",125,3,2.50
"Veal rib steak raw",125,2,2.50
"Sausage veal Braadworst raw",100,2,1.80
"Veal stewing steak raw",125,3,2.00
"Veal stewing meat raw",125,3,1.80
"Pork stewing meat raw",125,6,1.00
"Bacon lean smoked raw",30,7,1.20
"Bacon rasher prepared in own fat",30,7,1.50
"Pork shoarma seasoning raw",150,8,1.20
"Beef breast boneless raw",125,3,1.80
"Minced veal shallow fried",100,3,2.20
"Sausage beef Braadworst raw",100,6,1.50
"Pork sparerib raw",150,7,1.00
"Beef ribeye steak raw",150,5,2.50
"Beef T-bone steak raw",150,3,3.00
"Minced beef lean raw",100,9,1.20
"Minced beef lean shallow fried",100,9,1.50
"Gravy 75% fat thickend prep w gravy instant powder",30,4,0.50
"Gravy 75% fat clear prep w gravy instant powder",30,4,0.50
"Gravy 5% fat clear prep w gravy instant powder",30,5,0.40
"Veal schnitzel not breaded prepared",100,4,3.00
"Schnitzel vegetarian based on milk filled w cheese unprepared fortified w iron",100,6,1.50
"Schnitzel vegetarian based on milk filled several flavours unprepared fortified w iron",100,6,1.50
"Pizza Turkish wo extras",200,6,0.80
"Yoghurt Turkish 4% fat",150,5,0.40
"Cheese Turkish 60+ cow's milk canned",30,4,1.50
"Cheese sheep/goat Turkish 50+ canned",30,3,1.80
"Wheat bread brown Turkish",70,4,0.50
"Yoghurt Turkish 10% fat",150,5,0.45
"Sweet pepper orange raw",100,7,0.60
"Beans white canned",150,6,0.30
"Porridge oatmeal prepared w semi-skimmed milk unsweetened",250,7,0.20
"Oil linseed",10,3,1.00
"Butter product melange unsalted",15,5,0.80
"Wheat bread brown low sodium",70,3,0.50
"Oat bran",20,5,0.50
"Apple turnover w puff pastry w butter",100,7,1.50
"Syrup maple",15,4,1.50
"Syrup apple fortified w iron",15,5,0.50
"Cream whipped low fat w sugar canned",20,6,0.80
"Sweets cream hard",20,5,1.00
"Vegetables for soup cooked",150,8,0.40
"Tuna prepared wo fat",100,7,1.80
"Tilapia prepared wo fat",100,7,1.80
"Deep fried legumes Bara Surinam",100,4,1.00
"Beans mung boiled",150,3,0.40
"Yoghurt full fat w fruit/vanilla Activia",150,6,0.40
"Pastry puff cheese filled deep-fried in liquid fat",80,6,1.20
"Puff pastry w butter baked",30,6,1.20
"Crispbread gluten free Fette Croccanti Schar",20,3,1.50
"Processed meat prod 10-20 g fat excl liver av",30,7,1.20
"Mustard leaves boiled",150,2,0.80
"Cabbage pak-choi cooked",150,5,0.50
"Toddler formula Hero Baby 4 p 100 ml",100,1,0.50
"Toddler formula Hero Baby 5 p 100 ml",100,1,0.50
"Parsnip raw",100,4,0.60
"Parsnip boiled",150,4,0.60
"Toddler formula Nestle groeimelk 1+ p 100 ml",100,1,0.50
"Toddler formula Nestle groeimelk 2+ p 100 ml",100,1,0.50
"Bitter gourd pods boiled",100,2,0.80
"Okra boiled",150,3,0.80
"Cod dried, salted, soaked, boiled",125,3,2.50
"Soy sauce based on Ketjap",15,8,0.60
"Mince chicken raw",100,7,1.00
"Margarine product 60% fat >17 g sat fa salted",15,6,0.50
"Quinoa raw",75,6,0.60
"Quinoa cooked",200,6,0.60
"Cheese 30+ age 4-8 weeks",30,6,1.20
"Infant formula Kruidvat Standaard 1 p 100 ml",100,1,0.40
"Toddler formula Kruidvat Standaard 2 p 100 ml",100,1,0.40
"Toddler formula Kruidvat Standaard 3 p 100 ml",100,1,0.40
"Cheese 30+ age 8 wk-4 mths",30,6,1.30
"Cheese 30+ age 4-7 mths",30,5,1.40
"Cheese 30+ age 10-12 mths",30,4,1.50
"Cheeseproduct w veg fat Kees jong belegen",30,3,1.20
"Cheeseprod w veg fat Kees oud",30,3,1.40
"Sandwich spread other flavours",15,6,0.60
"Salad coleslaw",50,6,0.60
"Plant-based alternative to cream based on soya Alpro Cuisine Light",30,5,0.80
"Drink soya wo sugar fortified w calcium and vitamins",200,6,0.30
"Beans kidney red canned",150,6,0.30
"Peas chick canned",150,7,0.30
"Wheat bread wholemeal fortified w vit D and fibre Vollerkoren",70,6,0.45
"Pasta fortified w fibre raw",100,5,0.40
"Stock portion prepared",250,8,0.15
"Multigrain bread brown w seeds fortified w iron and vitamins Vikorn Vitaminebrood",70,5,0.50
"Multigrain bread brown w seeds fortified w iron and vitamins Vikorn Volvezel",70,5,0.50
"Medlar",50,1,2.00
"Anchovy raw",15,4,2.50
"Bulgur wheat cooked",200,5,0.40
"Yogurt drink Ayran Turkish",200,4,0.40
"Manti stuffed pasta cooked Turkish",200,3,0.80
"Beef salted dried seasoned Pastirma Turkish",30,3,2.50
"Minced beef from butcher raw",100,8,1.20
"Noodles boiled",200,8,0.30
"Hummus natural",30,8,1.00
"Glasswort raw",50,3,2.00
"Wheat bread wholemeal fine w seeds",70,8,0.45
"Wheat bread wholemeal fine w sunflower seeds",70,8,0.45
"Wheat bread wholemeal coarse w seeds",70,8,0.45
"Wheat bread wholemeal coarse w sunflower seeds",70,8,0.45
"Wheat bread wholemeal coarse w pumpkin seeds",70,7,0.50
"Beer white",330,7,0.40
"Vodka",35,5,3.00
"Peas split green boiled",150,6,0.30
"Fruit juice drink apple nectar",200,6,0.20
"Kiwi fruit yellow",100,7,0.80
"Asparagus green raw",150,6,1.50
"Olives ripe in brine tinned/glass",30,7,0.80
"Pesto red",20,7,1.50
"Sausage grill chicken",100,5,1.20
"Vegetables for stir-frying Dutch cooked",200,8,0.50
"Vegetables for stir-frying Italian cooked",200,8,0.60
"Vegetables for stir-frying oriental cooked",200,8,0.60
"Seaweed nori dried",5,6,4.00
"Noodles instant prepared",250,7,0.40
"Salad chicken satay",50,6,1.00
"Salad salmon",50,6,1.20
"Salad tuna",50,7,1.00
"Salad crab",50,5,1.20
"Salad shrimp",50,4,1.50
"Popcorn salted popped wo oil",30,6,0.60
"Wheat baguette white w herb butter ready-to-eat",70,8,0.80
"Doughnut Dutch style plain",60,5,1.00
"Brownie wo filling",50,6,1.20
"Biscuit Dutch Taai-taai",20,6,0.80
"Milk semi-skimmed lactose free",200,5,0.25
"Herb butter",15,8,1.00
"Golden syrup pourable",15,5,0.60
"Oil coconut",15,5,1.00
"Fudge/caramel soft",20,5,1.00
"Aniseed comfits crushed/pink&white/blue&white",15,5,1.50
"Chocolate flakes mix white and dark",15,7,1.00
"Fruit drink conc w sugar and sweetener 20-25 g CHO",20,6,0.50
"Fruit drink conc w 45-50 mg vit C",20,5,0.60
"Mentos cheewy dragee",10,7,1.50
"Pasta gluten free cooked",200,4,0.60
"Pasta fortified w fibre boiled",200,5,0.40
"Surimi",50,5,1.00
"Crisps tortilla several flavours",40,8,1.00
"Vegetables for stir-frying mushroom cooked",200,7,0.60
"Sardines grilled",100,4,1.50
"Fish fatty >5 g fat prepared in microwave oven no ingredients added",125,6,2.00
"Filo pastry unprepared",50,5,0.80
"Milkbased drink Yakult Plus",65,5,0.60
"Beer w fruitjuice Radler",330,7,0.40
"Beer bock",300,5,0.50
"Yoghurt semi-skimmed lactose free",200,4,0.30
"Yoghurt drink Actimel fruit",100,6,0.60
"Pollock (Alaska) raw",125,6,1.20
"Pollock (Alaska) steamed",125,6,1.20
"Prawns cooked",100,6,2.50
"Lemon sole raw",125,3,3.00
"Pangasius raw",125,6,1.00
"Rosti rounds frozen unprepared",100,6,0.50
"Processed meat products low sodium",30,3,1.50
"Rice cake puffed plain wo salt",15,6,0.80
"Wheat bread wholemeal fine w pumpkin seeds",70,6,0.50
